"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"05/01/2018 20:00:00 - 05/01/2018 21:00:00","BZN|FR","Without Sequence","42.36","",""
"05/01/2018 21:00:00 - 05/01/2018 22:00:00","BZN|FR","Without Sequence","39.90","",""
"05/01/2018 22:00:00 - 05/01/2018 23:00:00","BZN|FR","Without Sequence","39.97","",""
"05/01/2018 23:00:00 - 06/01/2018 00:00:00","BZN|FR","Without Sequence","39.97","",""
"06/01/2018 00:00:00 - 06/01/2018 01:00:00","BZN|FR","Without Sequence","29.45","",""
"06/01/2018 01:00:00 - 06/01/2018 02:00:00","BZN|FR","Without Sequence","28.55","",""
"06/01/2018 02:00:00 - 06/01/2018 03:00:00","BZN|FR","Without Sequence","28.18","",""
"06/01/2018 03:00:00 - 06/01/2018 04:00:00","BZN|FR","Without Sequence","25.27","",""
"06/01/2018 04:00:00 - 06/01/2018 05:00:00","BZN|FR","Without Sequence","24.34","",""
"06/01/2018 05:00:00 - 06/01/2018 06:00:00","BZN|FR","Without Sequence","27.42","",""
"06/01/2018 06:00:00 - 06/01/2018 07:00:00","BZN|FR","Without Sequence","30.00","",""
"06/01/2018 07:00:00 - 06/01/2018 08:00:00","BZN|FR","Without Sequence","31.36","",""
"06/01/2018 08:00:00 - 06/01/2018 09:00:00","BZN|FR","Without Sequence","34.19","",""
"06/01/2018 09:00:00 - 06/01/2018 10:00:00","BZN|FR","Without Sequence","41.11","",""
"06/01/2018 10:00:00 - 06/01/2018 11:00:00","BZN|FR","Without Sequence","44.00","",""
"06/01/2018 11:00:00 - 06/01/2018 12:00:00","BZN|FR","Without Sequence","43.74","",""
"06/01/2018 12:00:00 - 06/01/2018 13:00:00","BZN|FR","Without Sequence","44.43","",""
"06/01/2018 13:00:00 - 06/01/2018 14:00:00","BZN|FR","Without Sequence","42.90","",""
"06/01/2018 14:00:00 - 06/01/2018 15:00:00","BZN|FR","Without Sequence","38.70","",""
"06/01/2018 15:00:00 - 06/01/2018 16:00:00","BZN|FR","Without Sequence","37.40","",""
"06/01/2018 16:00:00 - 06/01/2018 17:00:00","BZN|FR","Without Sequence","37.99","",""
"06/01/2018 17:00:00 - 06/01/2018 18:00:00","BZN|FR","Without Sequence","44.22","",""
"06/01/2018 18:00:00 - 06/01/2018 19:00:00","BZN|FR","Without Sequence","49.98","",""
"06/01/2018 19:00:00 - 06/01/2018 20:00:00","BZN|FR","Without Sequence","45.90","",""
"06/01/2018 20:00:00 - 06/01/2018 21:00:00","BZN|FR","Without Sequence","40.90","",""
"06/01/2018 21:00:00 - 06/01/2018 22:00:00","BZN|FR","Without Sequence","33.69","",""
"06/01/2018 22:00:00 - 06/01/2018 23:00:00","BZN|FR","Without Sequence","36.26","",""
"06/01/2018 23:00:00 - 07/01/2018 00:00:00","BZN|FR","Without Sequence","36.26","",""
"07/01/2018 00:00:00 - 07/01/2018 01:00:00","BZN|FR","Without Sequence","21.87","",""
"07/01/2018 01:00:00 - 07/01/2018 02:00:00","BZN|FR","Without Sequence","15.98","",""
"07/01/2018 02:00:00 - 07/01/2018 03:00:00","BZN|FR","Without Sequence","15.99","",""
"07/01/2018 03:00:00 - 07/01/2018 04:00:00","BZN|FR","Without Sequence","14.00","",""
"07/01/2018 04:00:00 - 07/01/2018 05:00:00","BZN|FR","Without Sequence","12.51","",""
"07/01/2018 05:00:00 - 07/01/2018 06:00:00","BZN|FR","Without Sequence","13.21","",""
"07/01/2018 06:00:00 - 07/01/2018 07:00:00","BZN|FR","Without Sequence","12.17","",""
"07/01/2018 07:00:00 - 07/01/2018 08:00:00","BZN|FR","Without Sequence","13.02","",""
"07/01/2018 08:00:00 - 07/01/2018 09:00:00","BZN|FR","Without Sequence","18.41","",""
"07/01/2018 09:00:00 - 07/01/2018 10:00:00","BZN|FR","Without Sequence","19.58","",""
"07/01/2018 10:00:00 - 07/01/2018 11:00:00","BZN|FR","Without Sequence","22.14","",""
"07/01/2018 11:00:00 - 07/01/2018 12:00:00","BZN|FR","Without Sequence","28.44","",""
"07/01/2018 12:00:00 - 07/01/2018 13:00:00","BZN|FR","Without Sequence","29.26","",""
"07/01/2018 13:00:00 - 07/01/2018 14:00:00","BZN|FR","Without Sequence","27.08","",""
"07/01/2018 14:00:00 - 07/01/2018 15:00:00","BZN|FR","Without Sequence","20.32","",""
"07/01/2018 15:00:00 - 07/01/2018 16:00:00","BZN|FR","Without Sequence","19.86","",""
"07/01/2018 16:00:00 - 07/01/2018 17:00:00","BZN|FR","Without Sequence","21.41","",""
"07/01/2018 17:00:00 - 07/01/2018 18:00:00","BZN|FR","Without Sequence","28.87","",""
"07/01/2018 18:00:00 - 07/01/2018 19:00:00","BZN|FR","Without Sequence","34.34","",""
"07/01/2018 19:00:00 - 07/01/2018 20:00:00","BZN|FR","Without Sequence","32.33","",""
"07/01/2018 20:00:00 - 07/01/2018 21:00:00","BZN|FR","Without Sequence","31.44","",""
"07/01/2018 21:00:00 - 07/01/2018 22:00:00","BZN|FR","Without Sequence","28.94","",""
"07/01/2018 22:00:00 - 07/01/2018 23:00:00","BZN|FR","Without Sequence","29.69","",""
"07/01/2018 23:00:00 - 08/01/2018 00:00:00","BZN|FR","Without Sequence","29.69","",""
"08/01/2018 00:00:00 - 08/01/2018 01:00:00","BZN|FR","Without Sequence","18.91","",""
"08/01/2018 01:00:00 - 08/01/2018 02:00:00","BZN|FR","Without Sequence","15.15","",""
"08/01/2018 02:00:00 - 08/01/2018 03:00:00","BZN|FR","Without Sequence","15.11","",""
"08/01/2018 03:00:00 - 08/01/2018 04:00:00","BZN|FR","Without Sequence","13.42","",""
"08/01/2018 04:00:00 - 08/01/2018 05:00:00","BZN|FR","Without Sequence","12.91","",""
"08/01/2018 05:00:00 - 08/01/2018 06:00:00","BZN|FR","Without Sequence","17.10","",""
"08/01/2018 06:00:00 - 08/01/2018 07:00:00","BZN|FR","Without Sequence","30.03","",""
"08/01/2018 07:00:00 - 08/01/2018 08:00:00","BZN|FR","Without Sequence","42.93","",""
"08/01/2018 08:00:00 - 08/01/2018 09:00:00","BZN|FR","Without Sequence","44.95","",""
"08/01/2018 09:00:00 - 08/01/2018 10:00:00","BZN|FR","Without Sequence","44.66","",""
"08/01/2018 10:00:00 - 08/01/2018 11:00:00","BZN|FR","Without Sequence","46.60","",""
"08/01/2018 11:00:00 - 08/01/2018 12:00:00","BZN|FR","Without Sequence","51.88","",""
